stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.48794642,0.50301564,0.27876908,0.00022708105,0.07793929,True,50.0,0.054056242
mean_ub,0.5107205,0.4884354,0.04439849,0.0004966254,0.0024678507,True,67.80143,0.5019336
std_ub,0.099892646,0.17526852,0.018447146,0.0056815217,0.006021818,False,0.108571425,4.0860453
10q_ub,0.3822,0.25711864,0.045121137,0.015645346,0.017681263,False,99.27143,2.7721233
30q_ub,0.4572,0.37924218,0.05111571,0.0060774214,0.008690237,True,94.15429,1.5251244
50q_ub,0.5111,0.48976687,0.055362184,0.00045510262,0.0035200731,True,63.71143,0.38533765
70q_ub,0.5633,0.59683466,0.05594121,0.0011245734,0.004253993,True,27.124287,0.59946257
90q_ub,0.6392,0.7098626,0.052846283,0.0049932017,0.007785943,True,9.284286,1.3371345
mean_lb,-0.52059066,-0.48498192,0.047262598,0.0012679829,0.0035017345,True,24.262857,0.7534234
std_lb,0.10493917,0.17690277,0.017271696,0.00517876,0.0054770745,False,0.042857144,4.1665626
10q_lb,0.38438,0.24941514,0.048601355,0.018215513,0.020577602,False,99.292854,2.7769773
30q_lb,0.46504,0.3759746,0.055018105,0.007932646,0.010959635,True,95.851425,1.6188381
50q_lb,0.52,0.4863782,0.057198137,0.001130426,0.004402052,True,71.67857,0.58781296
70q_lb,0.5761,0.59394217,0.058851503,0.00031834288,0.0037818456,True,36.144287,0.30317265
90q_lb,0.656,0.70695096,0.055155452,0.0025960007,0.0056381216,True,16.677143,0.9237702
